,actual,predicted
2018-10-25 21:00:00,6528.09,6410.945257097484
2018-10-25 22:00:00,6536.8,6607.45572924614
2018-10-25 23:00:00,6533.24,6576.595101669432
2018-10-26 00:00:00,6533.0,6425.500521093608
2018-10-26 01:00:00,6529.16,6378.415017127992
2018-10-26 02:00:00,6530.04,6464.175361946226
2018-10-26 03:00:00,6538.5,6615.299255758525
2018-10-26 04:00:00,6539.5,6413.261002779008
2018-10-26 05:00:00,6533.6,6618.840692192317
2018-10-26 06:00:00,6583.53,6382.707418933512
2018-10-26 07:00:00,6560.0,6721.273064464332
2018-10-26 08:00:00,6554.2,6570.695937037469
2018-10-26 09:00:00,6557.9,6791.8489043712625
2018-10-26 10:00:00,6543.29,6605.706374913455
2018-10-26 11:00:00,6532.09,6741.030682682992
2018-10-26 12:00:00,6540.54,6392.210869565607
2018-10-26 13:00:00,6545.02,6535.506638735534
2018-10-26 14:00:00,6548.61,6421.486098200084
2018-10-26 15:00:00,6544.64,6413.3911734223375
2018-10-26 16:00:00,6539.8,6589.786803334952
2018-10-26 17:00:00,6544.99,6612.68764512241
2018-10-26 18:00:00,6545.58,6748.59349769354
2018-10-26 19:00:00,6540.75,6777.745014533401
2018-10-26 20:00:00,6540.0,6682.270561248065
2018-10-26 21:00:00,6538.63,6631.310244888068
2018-10-26 22:00:00,6544.11,6564.511340975762
2018-10-26 23:00:00,6546.03,6490.035846948625
2018-10-27 00:00:00,6543.08,6720.846283614636
2018-10-27 01:00:00,6550.06,6704.6569308936605
2018-10-27 02:00:00,6546.17,6618.509800404311
2018-10-27 03:00:00,6544.26,6561.290362805129
2018-10-27 04:00:00,6549.87,6693.881087064744
2018-10-27 05:00:00,6545.09,6401.142960503698
2018-10-27 06:00:00,6540.0,6566.028176754714
2018-10-27 07:00:00,6545.46,6688.333432853223
2018-10-27 08:00:00,6535.74,6684.0020295381555
2018-10-27 09:00:00,6535.0,6410.439976394177
2018-10-27 10:00:00,6535.98,6690.121291860939
2018-10-27 11:00:00,6523.97,6643.406426444651
2018-10-27 12:00:00,6511.89,6670.463288962842
2018-10-27 13:00:00,6494.93,6598.545995861293
2018-10-27 14:00:00,6498.27,6543.792099550367
2018-10-27 15:00:00,6495.97,6745.280356720091
2018-10-27 16:00:00,6488.45,6416.243500381709
2018-10-27 17:00:00,6489.92,6582.979922041298
2018-10-27 18:00:00,6495.14,6613.234659925104
2018-10-27 19:00:00,6509.2,6529.593811154366
2018-10-27 20:00:00,6502.97,6446.777210846544
2018-10-27 21:00:00,6505.6,6597.569219201804
2018-10-27 22:00:00,6496.23,6371.223337501288
2018-10-27 23:00:00,6498.76,6439.61285711825
2018-10-28 00:00:00,6504.53,6432.543398782612
2018-10-28 01:00:00,6499.79,6621.0337197482595
2018-10-28 01:00:00,6504.03,6422.207501918078
2018-10-28 02:00:00,6513.99,6423.637640073896
2018-10-28 03:00:00,6497.35,6396.114746779204
2018-10-28 04:00:00,6492.98,6577.714221417905
2018-10-28 05:00:00,6492.15,6667.396081075073
2018-10-28 06:00:00,6491.83,6448.955581784249
2018-10-28 07:00:00,6491.85,6723.243510156871
2018-10-28 08:00:00,6493.22,6540.625773176552
2018-10-28 09:00:00,6498.6,6459.8238368332395
2018-10-28 10:00:00,6506.07,6759.977715387941
2018-10-28 11:00:00,6505.9,6718.6766072809705
2018-10-28 12:00:00,6487.01,6595.269372224809
2018-10-28 13:00:00,6494.55,6388.117946818472
2018-10-28 14:00:00,6488.51,6570.047319576145
2018-10-28 15:00:00,6477.26,6603.87255871296
2018-10-28 16:00:00,6468.65,6381.564451128245
2018-10-28 17:00:00,6476.09,6458.792408376933
2018-10-28 18:00:00,6474.99,6426.66410753131
2018-10-28 19:00:00,6474.67,6422.940084412695
2018-10-28 20:00:00,6489.93,6610.953941076995
2018-10-28 21:00:00,6494.03,6430.524014890195
2018-10-28 22:00:00,6491.51,6636.052530348302
2018-10-28 23:00:00,6496.24,6569.1065634191045
2018-10-29 00:00:00,6496.94,6634.631832048298
2018-10-29 01:00:00,6497.86,6610.248684480787
2018-10-29 02:00:00,6496.63,6489.317175820471
2018-10-29 03:00:00,6497.47,6732.811300858856
2018-10-29 04:00:00,6498.97,6550.931363135577
2018-10-29 05:00:00,6498.92,6606.166195258499
2018-10-29 06:00:00,6488.39,6605.571732759477
2018-10-29 07:00:00,6491.0,6726.249358981849
2018-10-29 08:00:00,6429.9,6463.409491539002
2018-10-29 09:00:00,6352.01,6430.705359488727
2018-10-29 10:00:00,6368.76,6416.545327350498
2018-10-29 11:00:00,6366.89,6732.08294145763
2018-10-29 12:00:00,6382.56,6592.729057341815
2018-10-29 13:00:00,6368.04,6409.133301615716
2018-10-29 14:00:00,6353.36,6629.596414223314
2018-10-29 15:00:00,6361.55,6387.257926270367
2018-10-29 16:00:00,6336.1,6711.73185440898
2018-10-29 17:00:00,6332.01,6383.370444595815
2018-10-29 18:00:00,6324.03,6599.0261864215145
2018-10-29 19:00:00,6346.5,6564.610211044551
2018-10-29 20:00:00,6344.5,6763.4369257092485
2018-10-29 21:00:00,6357.07,6410.828252568842
2018-10-29 22:00:00,6347.9,6406.972816720606
2018-10-29 23:00:00,6353.77,6446.501716107131
2018-10-30 00:00:00,6363.76,6394.484135895968
2018-10-30 01:00:00,6380.86,6531.44501656294
2018-10-30 02:00:00,6369.81,6628.828556478024
2018-10-30 03:00:00,6383.2,6627.141803294421
2018-10-30 04:00:00,6373.0,6623.252582699061
2018-10-30 05:00:00,6353.5,6638.662898898126
2018-10-30 06:00:00,6349.26,6593.1769536584625
2018-10-30 07:00:00,6348.28,6735.756784290076
2018-10-30 08:00:00,6359.02,6415.145992934705
2018-10-30 09:00:00,6364.4,6581.400733530522
2018-10-30 10:00:00,6358.3,6552.4365233033905
2018-10-30 11:00:00,6348.54,6578.409292906524
2018-10-30 12:00:00,6353.97,6580.78913024068
2018-10-30 13:00:00,6338.94,6664.443641960622
2018-10-30 14:00:00,6341.96,6546.524440973998
2018-10-30 15:00:00,6338.53,6735.168780639769
2018-10-30 16:00:00,6332.0,6408.4849325716505
2018-10-30 17:00:00,6345.0,6777.516719073058
2018-10-30 18:00:00,6326.53,6538.022111892701
2018-10-30 19:00:00,6324.55,6556.152597069741
2018-10-30 20:00:00,6330.87,6540.090930819512
2018-10-30 21:00:00,6343.45,6424.1655267477045
2018-10-30 22:00:00,6335.69,6752.7154852598915
2018-10-30 23:00:00,6338.5,6641.008951485158
2018-10-31 00:00:00,6339.39,6596.4799095243225
2018-10-31 01:00:00,6339.09,6649.503828048707
2018-10-31 02:00:00,6339.05,6665.801242277027
2018-10-31 03:00:00,6333.91,6603.483537286521
2018-10-31 04:00:00,6335.33,6372.736198604108
2018-10-31 05:00:00,6329.34,6534.728595882655
2018-10-31 06:00:00,6325.0,6572.255997419358
2018-10-31 07:00:00,6337.18,6404.634216651321
2018-10-31 08:00:00,6331.87,6403.617196395994
2018-10-31 09:00:00,6334.73,6712.229185760022
2018-10-31 10:00:00,6313.55,6468.461801737548
2018-10-31 11:00:00,6265.24,6598.5986603200445
2018-10-31 12:00:00,6394.8,6762.959467738868
2018-10-31 13:00:00,6378.1,6734.206163764001
2018-10-31 14:00:00,6359.64,6382.905159071089
2018-10-31 15:00:00,6367.81,6761.296562612058
2018-10-31 16:00:00,6371.37,6639.655077427627
2018-10-31 17:00:00,6369.01,6439.437226116658
2018-10-31 18:00:00,6371.92,6760.678997308017
2018-10-31 19:00:00,6373.82,6399.167298048736
2018-10-31 20:00:00,6371.93,6425.7536582797775
2018-10-31 21:00:00,6366.0,6379.268578827382
2018-10-31 22:00:00,6361.9,6562.628834992648
2018-10-31 23:00:00,6363.72,6730.271234393121
2018-11-01 00:00:00,6362.59,6630.6673410236845
