,actual,predicted,compare,buy_sell
2018-01-03 22:03:40,0.983818716,0.9938404231528544,0.984440126,1
2018-01-03 22:03:50,0.983784083,0.9930145873568148,0.983679515,1
2018-01-03 22:04:00,0.983905301,0.9932422777976988,0.9839759,1
2018-01-03 22:04:10,0.98400787,0.9923362168752299,0.983818716,1
2018-01-03 22:04:20,0.983894644,0.9912882645924996,0.983784083,1
2018-01-03 22:04:30,0.984185035,0.990917416777322,0.983905301,1
2018-01-03 22:04:40,0.984058488,0.9908538611266859,0.98400787,1
2018-01-03 22:04:50,0.984219669,0.9910110267279659,0.983894644,1
2018-01-03 22:05:00,0.984256966,0.9911631701825478,0.984185035,1
2018-01-03 22:05:10,0.984206348,0.9909350623935896,0.984058488,1
2018-01-03 22:05:20,0.984167052,0.9908734660088074,0.984219669,1
2018-01-03 22:05:30,0.984215006,0.9908373610348392,0.984256966,1
2018-01-03 22:05:40,0.984195691,0.9905888520845888,0.984206348,1
2018-01-03 22:05:50,0.984018526,0.9904677303393584,0.984167052,1
2018-01-03 22:06:00,0.984108441,0.990354216901904,0.984215006,1
2018-01-03 22:06:10,0.983921285,0.9902754970225032,0.984195691,1
2018-01-03 22:06:20,0.984063817,0.9901384828721612,0.984018526,1
2018-01-03 22:06:30,0.983974568,0.9902079983929922,0.984108441,1
2018-01-03 22:06:40,0.984063151,0.9900662152987584,0.983921285,1
2018-01-03 22:06:50,0.985143457,0.9901659021167564,0.984063817,1
2018-01-03 22:07:00,0.985289318,0.9899442204404024,0.983974568,1
2018-01-03 22:07:10,0.985218053,0.9895731403771332,0.984063151,1
2018-01-03 22:07:20,0.0,0.0,0.985143457,0
2018-01-03 22:07:30,0.0,0.0,0.985289318,0
2018-01-03 22:07:40,0.0,0.0,0.985218053,0
2018-01-03 22:07:50,0.985138795,0.9902409007880161,0.0,1
2018-01-03 22:08:00,0.984933656,0.9911844758890378,0.0,1
2018-01-03 22:08:10,0.984930992,0.9920552054157676,0.0,1
2018-01-03 22:08:20,0.985027567,0.9925865261847452,0.985138795,1
2018-01-03 22:08:30,0.98500359,0.992665066202842,0.984933656,1
2018-01-03 22:08:40,0.984934988,0.9922963802157632,0.984930992,1
2018-01-03 22:08:50,0.984946311,0.9923817270237868,0.985027567,1
2018-01-03 22:09:00,0.984949641,0.9924243803461968,0.98500359,1
2018-01-03 22:09:10,0.984889698,0.9924972084582264,0.984934988,1
2018-01-03 22:09:20,0.984897691,0.9925595993759528,0.984946311,1
2018-01-03 22:09:30,0.984988271,0.9928316544409732,0.984949641,1
2018-01-03 22:09:40,0.98497495,0.9930188883120712,0.984889698,1
2018-01-03 22:09:50,0.984962962,0.9931986535734934,0.984897691,1
2018-01-03 22:10:00,0.984505397,0.9933447201607212,0.984988271,1
2018-01-03 22:10:10,0.984584655,0.9932268463963178,0.98497495,1
2018-01-03 22:10:20,0.984627281,0.9931568943189241,0.984962962,1
2018-01-03 22:10:30,0.0,0.0,0.984505397,0
2018-01-03 22:10:40,0.0,0.0,0.984584655,0
2018-01-03 22:10:50,0.0,0.0,0.984627281,0
2018-01-03 22:11:00,0.0,0.0,0.0,0
2018-01-03 22:11:10,0.0,0.0,0.0,0
2018-01-03 22:11:20,0.0,0.0,0.0,0
2018-01-03 22:11:30,0.0,0.0,0.0,0
2018-01-03 22:11:40,0.0,0.0,0.0,0
2018-01-03 22:11:50,0.0,0.0,0.0,0
2018-01-03 22:12:00,0.0,0.0,0.0,0
